ref_start,ref_end,query_start,query_end,ref_length,query_length,ref_chrom,query_chrom
20864,31702,11439,22186,249250621,22187,1,JSAF02024050.1
73418,85483,0,11920,249250621,11921,1,JSAF02018244.1
125307,136013,1820,12439,249250621,29480,1,JSAF02028224.1
327341,338041,12439,1820,249250621,29480,1,JSAF02028224.1
438100,448740,17211,27620,249250621,27620,1,JSAF02040608.1
651665,662379,1820,12439,249250621,29480,1,JSAF02028224.1
653617,671756,478,18585,249250621,29204,1,JSAF02034287.1
654635,668424,737,14471,249250621,14620,1,JSAF02002472.1
656656,675145,0,18406,249250621,18488,1,JSAF02036184.1
742782,757888,94,15182,249250621,52899,1,JSAF02006669.1
756414,796864,12588,52895,249250621,52899,1,JSAF02006669.1
811210,840035,19965,48767,249250621,121864,1,JSAF02008123.1
844746,870324,52993,78568,249250621,121864,1,JSAF02008123.1
869346,900110,78082,108917,249250621,121864,1,JSAF02008123.1
900224,912653,108917,121290,249250621,121864,1,JSAF02008123.1
912068,932247,839,21014,249250621,54017,1,JSAF02001270.1
931635,965037,20593,53998,249250621,54017,1,JSAF02001270.1
984423,1002677,1256,19412,249250621,19412,1,JSAF02004054.1
1002893,1013702,35,10871,249250621,10871,1,JSAF02003667.1
1016017,1075606,257,59814,249250621,159600,1,JSAF02037102.1
1076740,1175873,60518,159600,249250621,159600,1,JSAF02037102.1
1183435,1219553,7829,43961,249250621,48577,1,JSAF02009821.1
1227850,1285758,3,57996,249250621,61093,1,JSAF02031113.1
1291089,1318039,0,26957,249250621,72914,1,JSAF02012841.1
1318039,1362810,28152,72913,249250621,72914,1,JSAF02012841.1
1363341,1413382,1219,51261,249250621,182509,1,JSAF02024170.1
1413218,1479221,51230,117199,249250621,182509,1,JSAF02024170.1
1478968,1501063,117093,139157,249250621,182509,1,JSAF02024170.1
1501065,1541990,139256,180079,249250621,182509,1,JSAF02024170.1
1540760,1575228,2998,37395,249250621,37398,1,JSAF02034578.1
1584477,1598460,19697,33694,249250621,350149,1,JSAF02038628.1
1598574,1855672,33641,290640,249250621,350149,1,JSAF02038628.1
1880387,1913832,316680,350149,249250621,350149,1,JSAF02038628.1
1910848,1925248,3,14461,249250621,43089,1,JSAF02003485.1
1925248,1950664,14606,40020,249250621,43089,1,JSAF02003485.1
1955521,2017262,0,61736,249250621,99176,1,JSAF02022017.1
2017262,2038228,61846,82808,249250621,99176,1,JSAF02022017.1
2041556,2054776,85880,99166,249250621,99176,1,JSAF02022017.1
2054511,2079680,3,25150,249250621,105838,1,JSAF02019097.1
2078503,2143634,24141,89185,249250621,105838,1,JSAF02019097.1
2142880,2159814,88887,105806,249250621,105838,1,JSAF02019097.1
2159266,2227321,4,68107,249250621,68107,1,JSAF02034850.1
2227733,2241653,3,13911,249250621,13911,1,JSAF02034741.1
2242841,2256638,6,13773,249250621,14438,1,JSAF02019287.1
2256547,2324498,458,68431,249250621,92406,1,JSAF02029001.1
2332642,2348206,76854,92404,249250621,92406,1,JSAF02029001.1
2348233,2363981,2,15743,249250621,15743,1,JSAF02007422.1
2367124,2397697,0,30561,249250621,30564,1,JSAF02018674.1
2413984,2432274,1,18248,249250621,55567,1,JSAF02004714.1
2432255,2454441,18188,40365,249250621,55567,1,JSAF02004714.1
2454129,2469103,40608,55563,249250621,55567,1,JSAF02004714.1
2476432,2597805,3,121166,249250621,141378,1,JSAF02012934.1
2586501,2597802,125194,136443,249250621,141378,1,JSAF02012934.1
2608092,2620472,2178,14412,249250621,15210,1,JSAF02017837.1
2618036,2632150,566,14679,249250621,23341,1,JSAF02004156.1
2684221,2766309,18070,100085,249250621,110842,1,JSAF02034490.1
2765351,2776181,99922,110739,249250621,110842,1,JSAF02034490.1
2785645,2814862,7,29184,249250621,29184,1,JSAF02019563.1
2817461,2894264,1,76695,249250621,327759,1,JSAF02011756.1
2893340,2933274,75512,115426,249250621,327759,1,JSAF02011756.1
2942419,3079904,125550,262860,249250621,327759,1,JSAF02011756.1
3092907,3129259,276579,313030,249250621,327759,1,JSAF02011756.1
3131911,3143722,315964,327746,249250621,327759,1,JSAF02011756.1
3144123,3177373,0,33268,249250621,43468,1,JSAF02035253.1
3192443,3268206,6,75663,249250621,75668,1,JSAF02029712.1
3268089,3296706,195,28787,249250621,43022,1,JSAF02023333.1
3295631,3310713,27941,43012,249250621,43022,1,JSAF02023333.1
3311098,3357347,11,46201,249250621,46201,1,JSAF02032442.1
3359801,3387755,1203,29144,249250621,29144,1,JSAF02020698.1
3393864,3418678,694,25467,249250621,247469,1,JSAF02026448.1
3418555,3500496,25678,107557,249250621,247469,1,JSAF02026448.1
3504405,3560844,112781,168982,249250621,247469,1,JSAF02026448.1
3560245,3591869,168235,199791,249250621,247469,1,JSAF02026448.1
3591602,3639615,199475,247459,249250621,247469,1,JSAF02026448.1
3643308,3785296,9,142023,249250621,259103,1,JSAF02017922.1
3785148,3808958,142153,165970,249250621,259103,1,JSAF02017922.1
3808567,3845268,165393,202128,249250621,259103,1,JSAF02017922.1
3995269,4045758,208643,259103,249250621,259103,1,JSAF02017922.1
4046187,4077178,137,31102,249250621,154885,1,JSAF02039710.1
4076935,4138932,31022,92994,249250621,154885,1,JSAF02039710.1
4137300,4155159,94226,112120,249250621,154885,1,JSAF02039710.1
4160378,4196813,117184,153590,249250621,154885,1,JSAF02039710.1
4204581,4222781,7532,25745,249250621,2141438,1,JSAF02000522.1
4222781,4396588,26041,199627,249250621,2141438,1,JSAF02000522.1
4396562,4693206,200230,496746,249250621,2141438,1,JSAF02000522.1
4692862,4800457,496098,603506,249250621,2141438,1,JSAF02000522.1
4800416,4999784,603631,802957,249250621,2141438,1,JSAF02000522.1
4999450,5172583,804482,977682,249250621,2141438,1,JSAF02000522.1
5172360,5220394,977966,1025988,249250621,2141438,1,JSAF02000522.1
5220233,5364242,1026435,1170385,249250621,2141438,1,JSAF02000522.1
5364135,5394838,1170177,1200867,249250621,2141438,1,JSAF02000522.1
5394094,5447342,1200333,1253557,249250621,2141438,1,JSAF02000522.1
5447219,5728311,1258647,1539743,249250621,2141438,1,JSAF02000522.1
5728315,5804290,1539848,1615802,249250621,2141438,1,JSAF02000522.1
5804244,5862961,1615660,1674355,249250621,2141438,1,JSAF02000522.1
5862844,5877705,1674679,1689553,249250621,2141438,1,JSAF02000522.1
5876547,5889939,1688948,1702364,249250621,2141438,1,JSAF02000522.1
5892322,6037990,1705703,1851308,249250621,2141438,1,JSAF02000522.1
6037942,6065390,1852454,1879866,249250621,2141438,1,JSAF02000522.1
6072283,6326395,1887285,2141438,249250621,2141438,1,JSAF02000522.1
6327053,6514397,0,187229,249250621,188809,1,JSAF02019804.1
6510471,6548743,289,38508,249250621,38512,1,JSAF02004665.1
6551091,6638306,1,87254,249250621,87255,1,JSAF02000226.1
6640006,6802576,6,162431,249250621,164822,1,JSAF02006115.1
6785759,6802576,1,16685,249250621,797626,1,JSAF02026774.1
6802618,6997960,18557,213914,249250621,797626,1,JSAF02026774.1
7000963,7044277,218166,261469,249250621,797626,1,JSAF02026774.1
7043748,7175543,261129,392895,249250621,797626,1,JSAF02026774.1
7174968,7575280,392075,792113,249250621,797626,1,JSAF02026774.1
7580261,7659296,465,79256,249250621,83809,1,JSAF02013727.1
7650671,7925323,739,275281,249250621,917728,1,JSAF02006932.1
7925606,7963424,275281,313103,249250621,917728,1,JSAF02006932.1
7953202,8107761,302876,457456,249250621,917728,1,JSAF02006932.1
8087745,8337271,437456,686987,249250621,917728,1,JSAF02006932.1
8336910,8382491,687337,732895,249250621,917728,1,JSAF02006932.1
8391506,8404967,742674,756155,249250621,917728,1,JSAF02006932.1
8404852,8562144,756346,913536,249250621,917728,1,JSAF02006932.1
8562192,9113650,1636,552919,249250621,2202730,1,JSAF02030233.1
9113098,9176436,552564,615934,249250621,2202730,1,JSAF02030233.1
9176196,9189395,615925,629031,249250621,2202730,1,JSAF02030233.1
9189395,9230597,629121,670270,249250621,2202730,1,JSAF02030233.1
9230295,9342587,670288,782561,249250621,2202730,1,JSAF02030233.1
9342498,9471365,782737,911585,249250621,2202730,1,JSAF02030233.1
9471168,9595688,914000,1038479,249250621,2202730,1,JSAF02030233.1
9597432,9684257,1038162,1125008,249250621,2202730,1,JSAF02030233.1
9683995,9870200,1131227,1317382,249250621,2202730,1,JSAF02030233.1
9870200,10028610,1317521,1475901,249250621,2202730,1,JSAF02030233.1
10028610,10248377,1476041,1695811,249250621,2202730,1,JSAF02030233.1
10247645,10482510,1696106,1930879,249250621,2202730,1,JSAF02030233.1
10483672,10755749,1930736,2202726,249250621,2202730,1,JSAF02030233.1
10755795,10804788,4,48997,249250621,683519,1,JSAF02028447.1
10804402,11031152,48707,275426,249250621,683519,1,JSAF02028447.1
11031057,11101976,277227,348169,249250621,683519,1,JSAF02028447.1
11101773,11434214,348233,680617,249250621,683519,1,JSAF02028447.1
11433558,11583056,1143,150676,249250621,697560,1,JSAF02012292.1
11583056,11682893,151635,251440,249250621,697560,1,JSAF02012292.1
11683190,11701817,251444,270024,249250621,697560,1,JSAF02012292.1
11701740,12102772,269984,670939,249250621,697560,1,JSAF02012292.1
12102713,12129273,671196,697552,249250621,697560,1,JSAF02012292.1
12122549,12199073,34,76470,249250621,735025,1,JSAF02003430.1
12199006,12822517,76469,699914,249250621,735025,1,JSAF02003430.1
12822305,12857371,699488,734520,249250621,735025,1,JSAF02003430.1
12855048,12874956,15,19911,249250621,19912,1,JSAF02014741.1
12876217,12892731,9296,25760,249250621,25780,1,JSAF02031070.1
12893002,12927771,341,35073,249250621,35489,1,JSAF02035766.1
12933603,12947649,145,14179,249250621,22445,1,JSAF02039356.1
12935135,13040828,153306,47752,249250621,153904,1,JSAF02027180.1
